Production_Date,Month,Quarter,Year,Plant_Location,Department,Machine_ID,Machine_Type,Shift,Product_Being_Manufactured,Raw_Material,Machine_Condition,Units_Produced,Target_Units,Production_Efficiency_%,Defect_Count,Defect_Rate_%,Defect_Type,Downtime_Hours,Production_Cost_INR,Energy_Consumption_kWh,Maintenance_Required,Order_Status
02-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-005,Step Precision Winder SPW-200,Night (10PM-6AM),Nova 82 Circular Loom,Master Batch Additive,Good,439,404,100,6,1.37,Wind Ratio Error,0.14,31521,109.21,No,Completed
02-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Morning (6AM-2PM),Lofil Multifilament Line,PP Granules Grade B,Fair,176,214,82.24,29,16.48,No Defect,2.06,21018,66.08,No,Completed
02-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-007,Nova 10 Circular Loom,Morning (6AM-2PM),Lofil Multifilament Line,HDPE Granules,Good,414,416,99.52,6,1.45,Shuttle Jam,0.59,33153,97.23,No,Completed
02-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Morning (6AM-2PM),Lofil Multifilament Line,PP Granules Grade A,Good,58,494,11.74,8,13.79,No Defect,0.48,23242,55.81,No,In Progress
02-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-007,Nova 10 Circular Loom,Afternoon (2PM-10PM),Precision Tape Winder,HDPE Granules,Excellent,144,377,38.2,9,6.25,Fabric Tear,1.41,10407,32.25,No,In Progress
03-01-2022,January,Q1,2022,Kanpur Plant,Conversion,LC-018,FIBC Conversion Line,Afternoon (2PM-10PM),Nova 82 Circular Loom,HDPE Granules,Excellent,210,433,48.5,4,1.9,Bag Dimension Error,1.92,66088,63.43,Yes,Completed
03-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Afternoon (2PM-10PM),Extrusion Lamination Line,Master Batch Additive,Good,166,441,37.64,3,1.81,Tape Width Variation,0.09,84352,108.41,No,Completed
03-01-2022,January,Q1,2022,Bengaluru Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Morning (6AM-2PM),Tape Extrusion Line,PP Granules Grade A,Fair,271,451,60.09,18,6.64,Melt Flow Issue,3.65,57748,79.64,No,Completed
03-01-2022,January,Q1,2022,Kanpur Plant,Recycling,LC-023,Shredder Extruder SE-150,Afternoon (2PM-10PM),Recycling Machine,Recycled PP Pellets,Excellent,250,312,80.13,8,3.2,Contamination in Pellets,1,85705,116.33,No,Completed
03-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-002,Tape Extrusion Line TE-400,Night (10PM-6AM),FSN 4 Circular Loom,HDPE Granules,Good,270,469,57.57,5,1.85,Melt Flow Issue,0.53,53410,70.83,No,On Hold
03-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-006,Automatic Tape Winder ATW-300,Night (10PM-6AM),Extrusion Lamination Line,HDPE Granules,Good,447,432,100,11,2.46,Bobbin Package Defect,0.58,75395,140.54,Yes,In Progress
03-01-2022,January,Q1,2022,Kanpur Plant,Quality Control,LC-025,GSM Testing Equipment,Morning (6AM-2PM),Nova 10 Circular Loom,HDPE Granules,Good,272,220,100,6,2.21,Failed Tensile Test,0.57,16972,83.49,Yes,Completed
03-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Night (10PM-6AM),Nova 82 Circular Loom,HDPE Granules,Good,433,487,88.91,4,0.92,Melt Flow Issue,1.91,28696,149.47,Yes,Completed
03-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-004,Precision Winder PW-100,Morning (6AM-2PM),Lofil Multifilament Line,HDPE Granules,Good,237,416,56.97,12,5.06,Bobbin Package Defect,1.93,44243,139.63,No,Completed
04-01-2022,January,Q1,2022,Kanpur Plant,Lamination & Coating,LC-014,Extrusion Lamination Line EL-100,Afternoon (2PM-10PM),Lofil Multifilament Line,PP Granules Grade B,Fair,109,413,26.39,17,15.6,No Defect,1.34,92355,79.95,Yes,In Progress
04-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-003,HDPE Tape Extrusion Line,Afternoon (2PM-10PM),Lofil Multifilament Line,HDPE Granules,Good,223,439,50.8,11,4.93,Tape Breakage,0.86,63773,79.97,No,Completed
04-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Night (10PM-6AM),Extrusion Lamination Line,HDPE Granules,Good,231,265,87.17,9,3.9,Tape Breakage,0.11,26506,72.38,Yes,In Progress
04-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-007,Nova 10 Circular Loom,Night (10PM-6AM),Extrusion Lamination Line,HDPE Granules,Excellent,210,249,84.34,9,4.29,No Defect,1.13,53425,132.36,Yes,Completed
04-01-2022,January,Q1,2022,Bengaluru Plant,Conversion,LC-016,Bag Cutting & Stitching Line,Morning (6AM-2PM),LSL Circular Loom,Recycled PP Pellets,Fair,293,269,100,16,5.46,Cut Length Error,3.51,73564,101.08,No,Completed
04-01-2022,January,Q1,2022,Kanpur Plant,Lamination & Coating,LC-013,Extrusion Lamination Line EL-50,Morning (6AM-2PM),Extrusion Lamination Line,PP Granules Grade B,Good,298,427,69.79,14,4.7,Air Bubble,1.85,63026,82.88,Yes,Completed
05-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-006,Automatic Tape Winder ATW-300,Morning (6AM-2PM),Precision Tape Winder,Recycled PP Pellets,Good,51,294,17.35,12,23.53,Uneven Winding Tension,1.49,32383,86.5,No,Completed
05-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-006,Automatic Tape Winder ATW-300,Afternoon (2PM-10PM),Nova 10 Circular Loom,Recycled PP Pellets,Excellent,240,397,60.45,8,3.33,Wind Ratio Error,0.83,29420,23.64,No,Completed
05-01-2022,January,Q1,2022,Bengaluru Plant,Circular Loom,LC-007,Nova 10 Circular Loom,Afternoon (2PM-10PM),Tape Extrusion Line,Recycled PP Pellets,Good,221,271,81.55,21,9.5,Weave Pattern Error,0.92,30750,66.51,No,Completed
05-01-2022,January,Q1,2022,Kanpur Plant,Recycling,LC-023,Shredder Extruder SE-150,Afternoon (2PM-10PM),Nova 82 Circular Loom,PP Granules Grade B,Good,408,488,83.61,15,3.68,Contamination in Pellets,1.43,46482,122.04,No,Delayed
05-01-2022,January,Q1,2022,Kanpur Plant,Recycling,LC-023,Shredder Extruder SE-150,Afternoon (2PM-10PM),Lofil Multifilament Line,Master Batch Additive,Good,402,459,87.58,8,1.99,Throughput Drop,0.26,87182,144.18,No,Completed
05-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Morning (6AM-2PM),Lofil Multifilament Line,PP Granules Grade B,Fair,295,443,66.59,24,8.14,Thickness Inconsistency,4.23,23819,136.97,Yes,Delayed
05-01-2022,January,Q1,2022,Bengaluru Plant,Recycling,LC-022,Cutter Compactor Recycler CC-200,Morning (6AM-2PM),FIBC Conversion Line,PP Granules Grade A,Good,266,391,68.03,0,0,No Defect,1.85,24111,110.83,No,On Hold
06-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-008,Nova 82 Circular Loom,Afternoon (2PM-10PM),CSN 4 Circular Loom,Master Batch Additive,Excellent,419,282,100,13,3.1,Broken Warp Tape,1.63,21274,95.67,No,In Progress
06-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Night (10PM-6AM),Extrusion Lamination Line,HDPE Granules,Fair,76,374,20.32,15,19.74,Thickness Inconsistency,1.76,84759,127.58,No,Completed
06-01-2022,January,Q1,2022,Kanpur Plant,Multifilament,LC-019,Lofil Multifilament Line MF-1,Night (10PM-6AM),FSN 4 Circular Loom,Master Batch Additive,Good,105,464,22.63,9,8.57,No Defect,0.2,40221,26.69,No,Completed
06-01-2022,January,Q1,2022,Bengaluru Plant,Recycling,LC-023,Shredder Extruder SE-150,Morning (6AM-2PM),FIBC Conversion Line,HDPE Granules,Good,187,238,78.57,7,3.74,Throughput Drop,1.71,62326,100.42,No,Delayed
06-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-009,LSL Circular Loom,Morning (6AM-2PM),CSN 4 Circular Loom,PP Granules Grade A,Good,211,230,91.74,4,1.9,No Defect,0.41,53202,140.14,No,Delayed
06-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-011,FSN 4 Circular Loom,Morning (6AM-2PM),Lofil Multifilament Line,PP Granules Grade A,Poor,253,241,100,29,11.46,Weave Pattern Error,4.89,23639,24.63,No,In Progress
06-01-2022,January,Q1,2022,Bengaluru Plant,Circular Loom,LC-008,Nova 82 Circular Loom,Morning (6AM-2PM),Recycling Machine,PP Granules Grade A,Excellent,140,473,29.6,12,8.57,No Defect,1.36,12371,91.82,Yes,In Progress
06-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-003,HDPE Tape Extrusion Line,Morning (6AM-2PM),Recycling Machine,PP Granules Grade B,Good,355,388,91.49,14,3.94,Tape Width Variation,0.69,41217,50.16,No,Completed
07-01-2022,January,Q1,2022,Kanpur Plant,Conversion,LC-018,FIBC Conversion Line,Night (10PM-6AM),CSN 4 Circular Loom,PP Granules Grade A,Good,69,239,28.87,1,1.45,Stitching Defect,0.25,47040,25.68,No,In Progress
07-01-2022,January,Q1,2022,Kanpur Plant,R&D,LC-028,Prototype Circular Loom,Afternoon (2PM-10PM),FSN 4 Circular Loom,Master Batch Additive,Good,79,328,24.09,6,7.59,No Defect,0.99,56787,136.69,No,Completed
07-01-2022,January,Q1,2022,Kanpur Plant,Quality Control,LC-026,UV Resistance Chamber,Afternoon (2PM-10PM),Extrusion Lamination Line,PP Granules Grade B,Fair,397,477,83.23,10,2.52,No Defect,4.6,46671,30.2,No,In Progress
07-01-2022,January,Q1,2022,Bengaluru Plant,Tape Winding,LC-006,Automatic Tape Winder ATW-300,Morning (6AM-2PM),FIBC Conversion Line,PP Granules Grade A,Good,112,218,51.38,7,6.25,Wind Ratio Error,1.4,24973,22.77,No,Completed
07-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-007,Nova 10 Circular Loom,Morning (6AM-2PM),Nova 10 Circular Loom,Recycled PP Pellets,Excellent,235,396,59.34,16,6.81,Shuttle Jam,0.45,34173,105.79,No,In Progress
07-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-009,LSL Circular Loom,Night (10PM-6AM),Nova 82 Circular Loom,Recycled PP Pellets,Poor,174,310,56.13,27,15.52,Shuttle Jam,8.8,66039,121.74,No,In Progress
08-01-2022,January,Q1,2022,Bengaluru Plant,Circular Loom,LC-012,Venti Circular Loom,Night (10PM-6AM),FSN 4 Circular Loom,HDPE Granules,Poor,277,417,66.43,23,8.3,Shuttle Jam,9.72,41224,37.14,Yes,In Progress
08-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Morning (6AM-2PM),FSN 4 Circular Loom,HDPE Granules,Fair,355,340,100,18,5.07,No Defect,3.64,11617,36.16,No,Completed
08-01-2022,January,Q1,2022,Kanpur Plant,Multifilament,LC-020,Lofil Multifilament Line MF-2,Morning (6AM-2PM),Precision Tape Winder,Master Batch Additive,Good,223,445,50.11,6,2.69,Yarn Tenacity Variation,0.82,46234,136.62,No,On Hold
08-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-002,Tape Extrusion Line TE-400,Morning (6AM-2PM),Nova 10 Circular Loom,Master Batch Additive,Excellent,115,225,51.11,7,6.09,Tape Width Variation,0.23,34150,108.98,No,Completed
08-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-008,Nova 82 Circular Loom,Night (10PM-6AM),CSN 4 Circular Loom,HDPE Granules,Excellent,220,476,46.22,1,0.45,Fabric Tear,1.2,24308,30.07,No,Completed
08-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-006,Automatic Tape Winder ATW-300,Morning (6AM-2PM),FSN 4 Circular Loom,Master Batch Additive,Good,184,273,67.4,0,0,No Defect,0.65,53907,146.76,No,Completed
08-01-2022,January,Q1,2022,Bengaluru Plant,Lamination & Coating,LC-013,Extrusion Lamination Line EL-50,Night (10PM-6AM),Lofil Multifilament Line,HDPE Granules,Good,53,254,20.87,6,11.32,No Defect,1.62,76608,121.85,No,Delayed
08-01-2022,January,Q1,2022,Bengaluru Plant,Multifilament,LC-019,Lofil Multifilament Line MF-1,Morning (6AM-2PM),Nova 10 Circular Loom,PP Granules Grade B,Good,80,239,33.47,13,16.25,No Defect,1.01,80643,115.3,No,Completed
09-01-2022,January,Q1,2022,Kanpur Plant,Lamination & Coating,LC-015,Coating Machine CM-75,Morning (6AM-2PM),CSN 4 Circular Loom,Master Batch Additive,Good,334,350,95.43,7,2.1,Air Bubble,0.66,40263,79.26,No,Completed
09-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-010,CSN 4 Circular Loom,Afternoon (2PM-10PM),Extrusion Lamination Line,HDPE Granules,Good,225,447,50.34,7,3.11,Shuttle Jam,0.9,40115,94.01,No,Completed
09-01-2022,January,Q1,2022,Bengaluru Plant,Tape Winding,LC-005,Step Precision Winder SPW-200,Afternoon (2PM-10PM),LSL Circular Loom,PP Granules Grade B,Good,214,360,59.44,5,2.34,No Defect,0.82,29450,94.88,No,In Progress
09-01-2022,January,Q1,2022,Kanpur Plant,Multifilament,LC-019,Lofil Multifilament Line MF-1,Morning (6AM-2PM),Extrusion Lamination Line,Master Batch Additive,Excellent,280,251,100,4,1.43,No Defect,1.74,13136,109.71,No,Completed
09-01-2022,January,Q1,2022,Kanpur Plant,Recycling,LC-023,Shredder Extruder SE-150,Afternoon (2PM-10PM),Nova 82 Circular Loom,Master Batch Additive,Good,190,260,73.08,10,5.26,Throughput Drop,1.79,87526,99.14,Yes,In Progress
09-01-2022,January,Q1,2022,Bengaluru Plant,Conversion,LC-017,Flexographic Printing Machine,Afternoon (2PM-10PM),Tape Extrusion Line,Master Batch Additive,Poor,263,348,75.57,29,11.03,No Defect,8.13,76764,30.89,No,Completed
09-01-2022,January,Q1,2022,Bengaluru Plant,Lamination & Coating,LC-014,Extrusion Lamination Line EL-100,Morning (6AM-2PM),Lofil Multifilament Line,Master Batch Additive,Good,183,249,73.49,7,3.83,Air Bubble,0.59,16329,93.34,No,Completed
09-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-005,Step Precision Winder SPW-200,Night (10PM-6AM),FSN 4 Circular Loom,PP Granules Grade B,Good,416,307,100,19,4.57,No Defect,0.56,51204,32.93,No,Completed
09-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-008,Nova 82 Circular Loom,Night (10PM-6AM),Nova 10 Circular Loom,HDPE Granules,Fair,350,254,100,14,4,Broken Warp Tape,1.56,82373,129.04,No,Completed
10-01-2022,January,Q1,2022,Kanpur Plant,Quality Control,LC-025,GSM Testing Equipment,Morning (6AM-2PM),Nova 82 Circular Loom,PP Granules Grade A,Excellent,332,418,79.43,14,4.22,No Defect,1.04,48658,139.34,No,Delayed
10-01-2022,January,Q1,2022,Bengaluru Plant,Circular Loom,LC-010,CSN 4 Circular Loom,Night (10PM-6AM),FSN 4 Circular Loom,PP Granules Grade A,Good,414,259,100,11,2.66,No Defect,1.61,39155,114.56,No,Completed
10-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-012,Venti Circular Loom,Afternoon (2PM-10PM),Strapping Line,PP Granules Grade A,Good,59,421,14.01,3,5.08,Weft Skip,1.86,51618,44.75,No,In Progress
10-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-003,HDPE Tape Extrusion Line,Morning (6AM-2PM),Extrusion Lamination Line,PP Granules Grade B,Good,152,300,50.67,13,8.55,Thickness Inconsistency,0.3,75106,56.74,Yes,Delayed
10-01-2022,January,Q1,2022,Kanpur Plant,Multifilament,LC-021,Twister Winder LT-300,Morning (6AM-2PM),Precision Tape Winder,Master Batch Additive,Excellent,146,291,50.17,1,0.68,Denier Inconsistency,0.84,90396,69.44,No,Completed
10-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-008,Nova 82 Circular Loom,Night (10PM-6AM),Lofil Multifilament Line,PP Granules Grade B,Fair,290,400,72.5,25,8.62,Weave Pattern Error,1.39,47653,74.55,No,Completed
10-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-002,Tape Extrusion Line TE-400,Morning (6AM-2PM),Lofil Multifilament Line,PP Granules Grade A,Poor,105,447,23.49,38,36.19,Tape Width Variation,7.81,48132,54.83,No,Delayed
11-01-2022,January,Q1,2022,Bengaluru Plant,Tape Extrusion,LC-002,Tape Extrusion Line TE-400,Afternoon (2PM-10PM),FSN 4 Circular Loom,HDPE Granules,Excellent,257,404,63.61,8,3.11,Melt Flow Issue,1.82,73636,114.66,No,In Progress
11-01-2022,January,Q1,2022,Bengaluru Plant,Circular Loom,LC-008,Nova 82 Circular Loom,Afternoon (2PM-10PM),Tape Extrusion Line,PP Granules Grade B,Good,96,368,26.09,10,10.42,No Defect,1.08,12767,124.31,Yes,In Progress
11-01-2022,January,Q1,2022,Kanpur Plant,Conversion,LC-018,FIBC Conversion Line,Afternoon (2PM-10PM),CSN 4 Circular Loom,PP Granules Grade A,Excellent,141,280,50.36,12,8.51,Stitching Defect,1.72,48035,124.17,No,Completed
11-01-2022,January,Q1,2022,Bengaluru Plant,Circular Loom,LC-008,Nova 82 Circular Loom,Night (10PM-6AM),Nova 10 Circular Loom,PP Granules Grade A,Poor,309,252,100,37,11.97,Fabric Tear,3.3,49513,23.15,No,In Progress
11-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-004,Precision Winder PW-100,Afternoon (2PM-10PM),LSL Circular Loom,Master Batch Additive,Fair,419,338,100,6,1.43,Wind Ratio Error,1.3,12641,21.92,No,Completed
11-01-2022,January,Q1,2022,Bengaluru Plant,Tape Extrusion,LC-003,HDPE Tape Extrusion Line,Night (10PM-6AM),FSN 4 Circular Loom,PP Granules Grade B,Fair,441,365,100,20,4.54,Thickness Inconsistency,2.1,23065,54.36,No,Completed
11-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-008,Nova 82 Circular Loom,Morning (6AM-2PM),Precision Tape Winder,Recycled PP Pellets,Poor,399,473,84.36,31,7.77,No Defect,9.95,61595,143.69,No,In Progress
11-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-004,Precision Winder PW-100,Afternoon (2PM-10PM),FIBC Conversion Line,PP Granules Grade B,Good,95,359,26.46,13,13.68,Bobbin Package Defect,1.62,22502,92.92,No,Delayed
11-01-2022,January,Q1,2022,Bengaluru Plant,Tape Winding,LC-004,Precision Winder PW-100,Afternoon (2PM-10PM),Tape Extrusion Line,Master Batch Additive,Good,429,319,100,1,0.23,Tape Overlap,1.53,63983,60.49,No,Completed
11-01-2022,January,Q1,2022,Kanpur Plant,Lamination & Coating,LC-015,Coating Machine CM-75,Morning (6AM-2PM),Recycling Machine,PP Granules Grade A,Good,327,450,72.67,15,4.59,Coating Thickness Variation,0.63,52183,79.98,No,Completed
11-01-2022,January,Q1,2022,Kanpur Plant,R&D,LC-028,Prototype Circular Loom,Afternoon (2PM-10PM),Extrusion Lamination Line,Master Batch Additive,Poor,427,206,100,18,4.22,Performance Below Spec,4.16,24898,25.08,No,Completed
11-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-012,Venti Circular Loom,Morning (6AM-2PM),CSN 4 Circular Loom,Master Batch Additive,Fair,262,350,74.86,16,6.11,Fabric Tear,3.46,83899,104.53,Yes,Completed
12-01-2022,January,Q1,2022,Kanpur Plant,Conversion,LC-018,FIBC Conversion Line,Morning (6AM-2PM),Nova 10 Circular Loom,Recycled PP Pellets,Good,209,269,77.7,11,5.26,Bag Dimension Error,1.43,11287,61.3,Yes,Completed
12-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-004,Precision Winder PW-100,Afternoon (2PM-10PM),FSN 4 Circular Loom,PP Granules Grade A,Excellent,71,439,16.17,5,7.04,No Defect,0.13,39626,64.84,Yes,Completed
12-01-2022,January,Q1,2022,Bengaluru Plant,Multifilament,LC-020,Lofil Multifilament Line MF-2,Morning (6AM-2PM),Nova 82 Circular Loom,HDPE Granules,Good,170,487,34.91,6,3.53,Filament Breakage,0.15,23497,114.99,No,Completed
12-01-2022,January,Q1,2022,Bengaluru Plant,Tape Extrusion,LC-003,HDPE Tape Extrusion Line,Morning (6AM-2PM),LSL Circular Loom,Master Batch Additive,Good,343,341,100,15,4.37,Tape Width Variation,0.42,40386,148.58,Yes,In Progress
12-01-2022,January,Q1,2022,Bengaluru Plant,Tape Extrusion,LC-002,Tape Extrusion Line TE-400,Morning (6AM-2PM),Lofil Multifilament Line,HDPE Granules,Fair,110,461,23.86,23,20.91,Melt Flow Issue,3.66,49656,85.05,Yes,Completed
12-01-2022,January,Q1,2022,Kanpur Plant,Conversion,LC-018,FIBC Conversion Line,Night (10PM-6AM),FSN 4 Circular Loom,HDPE Granules,Good,80,309,25.89,5,6.25,Print Misalignment,1.89,28728,129.18,No,Completed
12-01-2022,January,Q1,2022,Bengaluru Plant,Lamination & Coating,LC-015,Coating Machine CM-75,Morning (6AM-2PM),CSN 4 Circular Loom,HDPE Granules,Fair,278,377,73.74,19,6.83,Coating Thickness Variation,3.47,60129,68.65,No,On Hold
13-01-2022,January,Q1,2022,Kanpur Plant,Circular Loom,LC-011,FSN 4 Circular Loom,Morning (6AM-2PM),Recycling Machine,Recycled PP Pellets,Excellent,228,329,69.3,6,2.63,No Defect,0.55,46038,103.42,No,On Hold
13-01-2022,January,Q1,2022,Bengaluru Plant,Tape Winding,LC-006,Automatic Tape Winder ATW-300,Night (10PM-6AM),LSL Circular Loom,Recycled PP Pellets,Excellent,281,432,65.05,18,6.41,No Defect,0.95,23616,24.97,Yes,Delayed
13-01-2022,January,Q1,2022,Bengaluru Plant,Lamination & Coating,LC-013,Extrusion Lamination Line EL-50,Morning (6AM-2PM),Nova 10 Circular Loom,PP Granules Grade B,Fair,101,228,44.3,21,20.79,No Defect,1.39,46369,147.84,Yes,Completed
13-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-006,Automatic Tape Winder ATW-300,Night (10PM-6AM),FSN 4 Circular Loom,HDPE Granules,Fair,340,387,87.86,9,2.65,Bobbin Package Defect,2.67,18513,45.08,No,Completed
13-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-002,Tape Extrusion Line TE-400,Morning (6AM-2PM),Precision Tape Winder,Recycled PP Pellets,Excellent,128,201,63.68,13,10.16,Tape Width Variation,1.12,54754,80.61,No,Completed
13-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Morning (6AM-2PM),Strapping Line,PP Granules Grade A,Excellent,50,286,17.48,0,0,No Defect,0.44,70338,30.57,No,Completed
14-01-2022,January,Q1,2022,Kanpur Plant,Lamination & Coating,LC-013,Extrusion Lamination Line EL-50,Morning (6AM-2PM),FSN 4 Circular Loom,PP Granules Grade B,Fair,186,291,63.92,19,10.22,Coating Thickness Variation,2.26,34673,55.46,Yes,On Hold
14-01-2022,January,Q1,2022,Kanpur Plant,Lamination & Coating,LC-014,Extrusion Lamination Line EL-100,Afternoon (2PM-10PM),FIBC Conversion Line,HDPE Granules,Excellent,368,467,78.8,14,3.8,Coating Thickness Variation,1.66,14814,143.46,No,Completed
14-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-006,Automatic Tape Winder ATW-300,Morning (6AM-2PM),Extrusion Lamination Line,HDPE Granules,Good,297,482,61.62,8,2.69,Uneven Winding Tension,0.18,43844,48.37,No,Delayed
14-01-2022,January,Q1,2022,Kanpur Plant,Lamination & Coating,LC-013,Extrusion Lamination Line EL-50,Afternoon (2PM-10PM),Nova 82 Circular Loom,Master Batch Additive,Good,233,217,100,10,4.29,Air Bubble,1.4,11035,40.64,No,Completed
14-01-2022,January,Q1,2022,Bengaluru Plant,Tape Winding,LC-005,Step Precision Winder SPW-200,Afternoon (2PM-10PM),Strapping Line,Master Batch Additive,Good,264,433,60.97,13,4.92,Wind Ratio Error,1.46,41927,52.83,No,Completed
14-01-2022,January,Q1,2022,Bengaluru Plant,Circular Loom,LC-007,Nova 10 Circular Loom,Night (10PM-6AM),FSN 4 Circular Loom,PP Granules Grade B,Poor,299,255,100,44,14.72,Weft Skip,4.89,62527,97.1,Yes,Completed
